year,site_code,site_name,pollutant_number,pollutant_name,average_aqi_fire_season
1991,24,Alabama Ave. Station,42101,Carbon monoxide,23.688524590163933
1991,24,Alabama Ave. Station,42602,Nitrogen dioxide (NO2),39.78260869565217
1991,1004,Edmund Orgill Park Ozone,44201,Ozone,62.103130755064456
1992,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,32.733333333333334
1992,21,Frayser Ozone Monitor,42101,Carbon monoxide,15.049180327868852
1992,21,Frayser Ozone Monitor,44201,Ozone,50.38405797101449
1992,24,Alabama Ave. Station,42101,Carbon monoxide,24.697802197802197
1992,24,Alabama Ave. Station,42602,Nitrogen dioxide (NO2),42.84357541899441
1992,1004,Edmund Orgill Park Ozone,44201,Ozone,73.17391304347827
1993,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,33.833333333333336
1993,21,Frayser Ozone Monitor,42101,Carbon monoxide,14.419753086419753
1993,21,Frayser Ozone Monitor,44201,Ozone,51.369565217391305
1993,24,Alabama Ave. Station,42101,Carbon monoxide,20.967391304347824
1993,24,Alabama Ave. Station,42602,Nitrogen dioxide (NO2),41.005464480874316
1993,1004,Edmund Orgill Park Ozone,44201,Ozone,67.11934900542495
1994,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,28.032258064516128
1994,21,Frayser Ozone Monitor,42101,Carbon monoxide,12.570652173913043
1994,21,Frayser Ozone Monitor,44201,Ozone,58.66304347826087
1994,24,Alabama Ave. Station,42101,Carbon monoxide,21.890173410404625
1994,24,Alabama Ave. Station,42602,Nitrogen dioxide (NO2),44.758426966292134
1994,24,Alabama Ave. Station,81102,PM10 Total 0-10um STP,30.443786982248522
1994,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,42401,Sulfur dioxide,23.386363636363637
1994,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,81102,PM10 Total 0-10um STP,24.535714285714285
1994,1004,Edmund Orgill Park Ozone,44201,Ozone,69.34420289855072
1995,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,32.16129032258065
1995,21,Frayser Ozone Monitor,42101,Carbon monoxide,11.172222222222222
1995,21,Frayser Ozone Monitor,44201,Ozone,64.34946236559139
1995,24,Alabama Ave. Station,42101,Carbon monoxide,18.268156424581004
1995,24,Alabama Ave. Station,42602,Nitrogen dioxide (NO2),46.08695652173913
1995,24,Alabama Ave. Station,81102,PM10 Total 0-10um STP,30.937106918238992
1995,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,42401,Sulfur dioxide,20.065573770491802
1995,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,81102,PM10 Total 0-10um STP,29.967741935483872
1995,1004,Edmund Orgill Park Ozone,44201,Ozone,72.56340579710145
1996,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,27.70967741935484
1996,21,Frayser Ozone Monitor,42101,Carbon monoxide,12.108695652173912
1996,21,Frayser Ozone Monitor,44201,Ozone,60.68535262206148
1996,24,Alabama Ave. Station,42101,Carbon monoxide,17.179347826086957
1996,24,Alabama Ave. Station,42602,Nitrogen dioxide (NO2),40.48913043478261
1996,24,Alabama Ave. Station,81102,PM10 Total 0-10um STP,28.352272727272727
1996,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,42401,Sulfur dioxide,12.360655737704919
1996,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,81102,PM10 Total 0-10um STP,24.037037037037038
1996,1004,Edmund Orgill Park Ozone,44201,Ozone,71.43115942028986
1997,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,32.82142857142857
1997,21,Frayser Ozone Monitor,42101,Carbon monoxide,10.701086956521738
1997,21,Frayser Ozone Monitor,44201,Ozone,59.04710144927536
1997,24,Alabama Ave. Station,42101,Carbon monoxide,15.714285714285714
1997,24,Alabama Ave. Station,42602,Nitrogen dioxide (NO2),45.114285714285714
1997,24,Alabama Ave. Station,81102,PM10 Total 0-10um STP,26.085714285714285
1997,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,42401,Sulfur dioxide,11.83695652173913
1997,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,81102,PM10 Total 0-10um STP,27.966666666666665
1997,1004,Edmund Orgill Park Ozone,44201,Ozone,69.32065217391305
1998,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,30.433333333333334
1998,21,Frayser Ozone Monitor,42101,Carbon monoxide,9.391304347826088
1998,21,Frayser Ozone Monitor,44201,Ozone,70.38517179023508
1998,24,Alabama Ave. Station,42101,Carbon monoxide,16.57608695652174
1998,24,Alabama Ave. Station,42602,Nitrogen dioxide (NO2),45.675862068965515
1998,24,Alabama Ave. Station,81102,PM10 Total 0-10um STP,25.016666666666666
