year,site_code,site_name,pollutant_number,pollutant_name,average_aqi_fire_season
2015,100,Near Road Site at Southwest Tennessee Community College,42101,Carbon monoxide,4.054644808743169
2015,100,Near Road Site at Southwest Tennessee Community College,42602,Nitrogen dioxide (NO2),19.22826086956522
2015,1004,Edmund Orgill Park Ozone,44201,Ozone,41.256830601092894
2016,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,18.054545454545455
2016,21,Frayser Ozone Monitor,44201,Ozone,43.266304347826086
2016,24,Alabama Ave. Station,42101,Carbon monoxide,3.8043478260869565
2016,24,Alabama Ave. Station,81102,PM10 Total 0-10um STP,19.467391304347824
2016,47,GUTHRIE CLINIC PM 2.5,88101,PM2.5 - Local Conditions,44.38333333333333
2016,75,Memphis NCORE site,42101,Carbon monoxide,2.659217877094972
2016,75,Memphis NCORE site,42401,Sulfur dioxide,0.8156424581005587
2016,75,Memphis NCORE site,44201,Ozone,43.405797101449274
2016,75,Memphis NCORE site,88101,PM2.5 - Local Conditions,42.25555555555555
2016,75,Memphis NCORE site,88502,Acceptable PM2.5 AQI & Speciation Mass,50.02564102564103
2016,100,Near Road Site at Southwest Tennessee Community College,42101,Carbon monoxide,3.657608695652174
2016,100,Near Road Site at Southwest Tennessee Community College,42602,Nitrogen dioxide (NO2),17.625
2016,1004,Edmund Orgill Park Ozone,44201,Ozone,44.05978260869565
2017,21,Frayser Ozone Monitor,44201,Ozone,40.58045977011494
2017,24,Alabama Ave. Station,81102,PM10 Total 0-10um STP,17.96551724137931
2017,24,Alabama Ave. Station,88101,PM2.5 - Local Conditions,44.85
2017,75,Memphis NCORE site,42101,Carbon monoxide,2.4402173913043477
2017,75,Memphis NCORE site,42401,Sulfur dioxide,0.8369565217391305
2017,75,Memphis NCORE site,44201,Ozone,45.56442831215971
2017,75,Memphis NCORE site,88101,PM2.5 - Local Conditions,41.0989010989011
2017,75,Memphis NCORE site,88502,Acceptable PM2.5 AQI & Speciation Mass,45.10919540229885
2017,100,Near Road Site at Southwest Tennessee Community College,42101,Carbon monoxide,4.538461538461538
2017,100,Near Road Site at Southwest Tennessee Community College,42602,Nitrogen dioxide (NO2),18.527173913043477
2017,100,Near Road Site at Southwest Tennessee Community College,88101,PM2.5 - Local Conditions,43.09836065573771
2017,1004,Edmund Orgill Park Ozone,44201,Ozone,41.022346368715084
2018,21,Frayser Ozone Monitor,44201,Ozone,40.79588014981273
2018,24,Alabama Ave. Station,81102,PM10 Total 0-10um STP,20.579234972677597
2018,24,Alabama Ave. Station,88101,PM2.5 - Local Conditions,47.61290322580645
2018,75,Memphis NCORE site,42101,Carbon monoxide,2.364130434782609
2018,75,Memphis NCORE site,42401,Sulfur dioxide,0.21739130434782608
2018,75,Memphis NCORE site,44201,Ozone,46.44626593806922
2018,75,Memphis NCORE site,81102,PM10 Total 0-10um STP,16.433333333333334
2018,75,Memphis NCORE site,88101,PM2.5 - Local Conditions,44.26373626373626
2018,75,Memphis NCORE site,88502,Acceptable PM2.5 AQI & Speciation Mass,47.91379310344828
2018,100,Near Road Site at Southwest Tennessee Community College,42101,Carbon monoxide,4.022222222222222
2018,100,Near Road Site at Southwest Tennessee Community College,42602,Nitrogen dioxide (NO2),17.646408839779006
2018,100,Near Road Site at Southwest Tennessee Community College,88101,PM2.5 - Local Conditions,45.03333333333333
2018,1004,Edmund Orgill Park Ozone,44201,Ozone,42.998178506375226
2019,21,Frayser Ozone Monitor,44201,Ozone,43.605313092979124
2019,24,Alabama Ave. Station,81102,PM10 Total 0-10um STP,20.209944751381215
2019,24,Alabama Ave. Station,88101,PM2.5 - Local Conditions,45.950819672131146
2019,75,Memphis NCORE site,42101,Carbon monoxide,2.4918032786885247
2019,75,Memphis NCORE site,42401,Sulfur dioxide,0.17391304347826086
2019,75,Memphis NCORE site,44201,Ozone,43.835144927536234
2019,75,Memphis NCORE site,81102,PM10 Total 0-10um STP,15.211267605633802
2019,75,Memphis NCORE site,88101,PM2.5 - Local Conditions,42.94392523364486
2019,75,Memphis NCORE site,88502,Acceptable PM2.5 AQI & Speciation Mass,45.64666666666667
2019,100,Near Road Site at Southwest Tennessee Community College,42101,Carbon monoxide,3.8351648351648353
2019,100,Near Road Site at Southwest Tennessee Community College,42602,Nitrogen dioxide (NO2),17.70108695652174
2019,100,Near Road Site at Southwest Tennessee Community College,88101,PM2.5 - Local Conditions,42.95764705882353
2019,1004,Edmund Orgill Park Ozone,44201,Ozone,40.386740331491715
2020,21,Frayser Ozone Monitor,44201,Ozone,32.91127541589649
2020,24,Alabama Ave. Station,81102,PM10 Total 0-10um STP,19.275280898876403
2020,24,Alabama Ave. Station,88101,PM2.5 - Local Conditions,42.6551724137931
2020,75,Memphis NCORE site,42101,Carbon monoxide,2.4293478260869565
2020,75,Memphis NCORE site,42401,Sulfur dioxide,0.28888888888888886
2020,75,Memphis NCORE site,44201,Ozone,38.52823315118397
2020,75,Memphis NCORE site,81102,PM10 Total 0-10um STP,14.32857142857143
2020,75,Memphis NCORE site,88101,PM2.5 - Local Conditions,41.026785714285715
2020,75,Memphis NCORE site,88502,Acceptable PM2.5 AQI & Speciation Mass,45.1849710982659
2020,100,Near Road Site at Southwest Tennessee Community College,42101,Carbon monoxide,4.169398907103825
2020,100,Near Road Site at Southwest Tennessee Community College,42602,Nitrogen dioxide (NO2),16.695652173913043
2020,100,Near Road Site at Southwest Tennessee Community College,88101,PM2.5 - Local Conditions,44.83979328165375
2020,1004,Edmund Orgill Park Ozone,44201,Ozone,37.16847826086956
2021,21,Frayser Ozone Monitor,44201,Ozone,37.79528985507246
2021,24,Alabama Ave. Station,81102,PM10 Total 0-10um STP,18.983606557377048
2021,24,Alabama Ave. Station,88101,PM2.5 - Local Conditions,45.18421052631579
2021,75,Memphis NCORE site,42101,Carbon monoxide,2.6793478260869565
2021,75,Memphis NCORE site,42401,Sulfur dioxide,0.21739130434782608
2021,75,Memphis NCORE site,42602,Nitrogen dioxide (NO2),9.054347826086957
2021,75,Memphis NCORE site,44201,Ozone,43.69597069597069
2021,75,Memphis NCORE site,81102,PM10 Total 0-10um STP,17.994444444444444
2021,75,Memphis NCORE site,88101,PM2.5 - Local Conditions,44.26066350710901
2021,100,Near Road Site at Southwest Tennessee Community College,42101,Carbon monoxide,4.211956521739131
2021,100,Near Road Site at Southwest Tennessee Community College,42602,Nitrogen dioxide (NO2),14.131868131868131
2021,100,Near Road Site at Southwest Tennessee Community College,88101,PM2.5 - Local Conditions,43.08196721311475
2021,1004,Edmund Orgill Park Ozone,44201,Ozone,38.17210144927536
