year,fire_year,total_amortized_smoke_impact,total_fire_duration,total_acres_burned,avg_daily_smoke_impact,scaled_avg_daily_smoke_impact
1961,,,,,,
1962,,,,,,
1963,,,,,,
1964,1964.0,7.432191848478627e-07,10.002544598883386,28.468121417707916,7.430301134881522e-08,0.7430301134881522
1965,1965.0,1.1819147159734888e-06,30.00391337167037,43.78149365396728,3.939201867878509e-08,0.3939201867878509
1966,1966.0,1.0323468421123383e-06,30.00241023557402,26.964909642299364,3.4408796960194857e-08,0.34408796960194854
1967,1967.0,1.5081502701973976e-05,30.04512304250356,504.8215108144538,5.019617553450793e-07,5.019617553450793
1968,1968.0,1.0937086844502649e-06,30.003640019031508,40.72331573682478,3.6452533217853515e-08,0.36452533217853517
1969,1969.0,1.3853184660061704e-05,70.03532959629612,395.2557094807656,1.9780280524009045e-07,1.9780280524009046
1970,1970.0,9.558525523789117e-05,870.2101086309908,2350.625105202271,1.09841582268293e-07,1.0984158226829301
1971,1971.0,3.9367298934400485e-05,770.0996402440156,1114.7417312994444,5.111974720820084e-08,0.5111974720820084
1972,1972.0,2.4160119683595868e-05,510.05288279208366,591.6349943300996,4.736787203581874e-08,0.47367872035818737
1973,1973.0,1.3484449098922123e-05,360.0297507868136,332.8418544907346,3.74537078379024e-08,0.37453707837902395
1974,1974.0,4.7947472052165735e-05,820.1224999283871,1370.4882359864257,5.8463792977698447e-08,0.5846379297769845
1975,1975.0,3.82511447303547e-05,800.0951303013965,1064.2860013582788,4.780824589689161e-08,0.4780824589689161
1976,1976.0,0.0001529712874979,1290.3803254955178,4254.954466632996,1.1854744254507269e-07,1.1854744254507268
1977,1977.0,7.81031026784385e-05,780.1994909057375,2231.8375455336923,1.0010657990531141e-07,1.0010657990531142
1978,1978.0,8.982875682173044e-05,1090.360341032782,4031.374980158777,8.238446818108337e-08,0.8238446818108337
1979,1979.0,6.219011290912511e-05,1110.2033134810792,2274.603240224412,5.601686840055085e-08,0.5601686840055086
1980,1980.0,0.0001283472235971,1050.3933277569583,4400.4194197972,1.2218967905213724e-07,1.2218967905213725
1981,1981.0,7.599053579020702e-05,1190.3793089475043,4243.581667381071,6.38372451696892e-08,0.638372451696892
1982,1982.0,2.794030374251446e-05,680.0790814608338,884.736939721803,4.108390406965277e-08,0.4108390406965277
1983,1983.0,2.049488325353822e-05,580.0523653978036,585.8465601358844,3.5332815580335935e-08,0.35332815580335936
1984,1984.0,0.0002908076183757,791.1852935595905,13260.667993829044,3.675594336029269e-07,3.675594336029269
1985,1985.0,0.0021200743032254,1603.281429418135,148588.19114668356,1.322334472491728e-06,13.223344724917279
1986,1986.0,0.0012719783439916,2215.5014777267365,61548.69316500976,5.741266059983955e-07,5.741266059983955
1987,1987.0,0.0154360488723548,2924.4393255050104,944678.9380443976,5.278293427985302e-06,52.782934279853016
1988,1988.0,0.0035993170086941,1632.5936683078394,364647.0620160757,2.2046618693705675e-06,22.046618693705675
1989,1989.0,0.0016349416782553,1188.5445851851518,95593.96182363229,1.375582959726079e-06,13.75582959726079
1990,1990.0,0.0013993018962173,1616.9688099882082,77964.71584443364,8.653858303102033e-07,8.653858303102034
1991,1991.0,0.0118907161868004,2725.536043890961,733195.3444236178,4.3627073703363255e-06,43.62707370336325
1992,1992.0,0.0017003757973558,1616.0022711337124,67151.40234171425,1.0522112671060616e-06,10.522112671060617
1993,1993.0,0.0026276567023488,1964.9213396376683,166934.95831247405,1.3372834063848272e-06,13.372834063848272
1994,1994.0,0.0067949182238288,2729.9492387774585,335062.0687022068,2.48902731498106e-06,24.890273149810596
1995,1995.0,0.0041900317600174,4575.99929476279,178994.75979441212,9.156539348275156e-07,9.156539348275155
1996,1996.0,0.0142489316432855,3443.300800253863,820064.8421512465,4.1381605819145945e-06,41.381605819145946
1997,1997.0,0.0027680181895316,2103.302389458402,148822.68506835346,1.3160343483679605e-06,13.160343483679604
1998,1998.0,0.0061054092575991,3629.843218557461,557629.2621236427,1.6820035715001305e-06,16.820035715001303
1999,1999.0,0.0086457923247763,5239.484609381269,441740.6064805941,1.6501226684197323e-06,16.501226684197324
2000,2000.0,0.0139618839440125,5163.264082421347,595900.7431285268,2.7040809304228017e-06,27.040809304228016
2001,2001.0,0.0125126669925371,4928.022307687714,649134.1763034639,2.539084892740324e-06,25.39084892740324
